企业名称,供应商,采购占比,采购金额,报告期,数据来源,关联关系
创远信科（上海）技术股份有限公司,上海科学器材有限公司,14.50%,2974.14万元,2024-03-28,年报,否
创远信科（上海）技术股份有限公司,西安中为光电科技有限公司,5.60%,1964.79万元,2022-04-11,年报,无关联关系
创远信科（上海）技术股份有限公司,河南信安通信技术股份有限公司,6.79%,2380.04万元,2022-04-11,年报,无关联关系
创远信科（上海）技术股份有限公司,湖北三江航天机电设备有限责任公司,5.08%,1779.81万元,2022-04-11,年报,无关联关系
创远信科（上海）技术股份有限公司,上海航天卫星应用有限公司,6.25%,1956.80万元,2021-03-31,年报,非关联方
创远信科（上海）技术股份有限公司,重庆中星微人工智能芯片技术有限公司,5.72%,1790.14万元,2021-03-31,年报,非关联方
创远信科（上海）技术股份有限公司,亮璞电子科技（上海）有限公司,5.82%,1059.93万元,2020-04-27,年报,非关联方
创远信科（上海）技术股份有限公司,浙江德景电子科技有限公司,19.62%,3990.09万元,2019-04-19,年报,非关联方
创远信科（上海）技术股份有限公司,浙江嘉科电子有限公司,15.33%,3117.70万元,2019-04-19,年报,非关联方
创远信科（上海）技术股份有限公司,中电科瑞志电源技术（西安）有限公司,5.51%,1119.51万元,2019-04-19,年报,非关联方
创远信科（上海）技术股份有限公司,深圳市华富洋供应链有限公司,8.72%,2166.11万元,2018-03-30,年报,否
创远信科（上海）技术股份有限公司,宇祐通讯科技（上海）股份有限公司,12.13%,624.24万元,2017-04-19,供应商公告,非关联方
创远信科（上海）技术股份有限公司,海宁乐众信息技术股份有限公司,21.34%,485.09万元,2016-05-31,供应商公告,-
创远信科（上海）技术股份有限公司,杭州旗奥实业有限公司,8.09%,674.09万元,2016-04-22,年报,非关联方
创远信科（上海）技术股份有限公司,无锡中感微电子股份有限公司,5.19%,432.62万元,2016-04-22,年报,非关联方
创远信科（上海）技术股份有限公司,成都西科微波通讯有限公司,19.05%,1586.44万元,2016-04-22,年报,非关联方
创远信科（上海）技术股份有限公司,江西联创电子有限公司,11.41%,718.29万元,2015-01-30,年报,-
创远信科（上海）技术股份有限公司,深圳市信邦实业有限公司,9.99%,628.42万元,2015-01-30,年报,-
创远信科（上海）技术股份有限公司,深圳市雅视科技有限公司,6.11%,384.63万元,2015-01-30,年报,-
创远信科（上海）技术股份有限公司,普天信息技术有限公司,5.38%,579.54万元,2015-01-30,年报,-
创远信科（上海）技术股份有限公司,上海丰宝电子信息科技有限公司,4.93%,530.85万元,2015-01-30,年报,-
创远信科（上海）技术股份有限公司,梅州众成实业有限公司,3.49%,375.89万元,2015-01-30,年报,-
中国太平洋保险（集团）股份有限公司,深圳市世联土地房地产评估有限公司,-,-,2025-07-03,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海迈利船舶科技有限公司,-,-,2025-07-02,招投标公告,-
中国太平洋保险（集团）股份有限公司,杭州安恒信息技术股份有限公司,-,-,2025-06-30,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京精友时代信息技术发展有限公司,-,-,2025-06-27,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京梆梆安全科技有限公司,-,-,2025-06-24,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海财瑞建设管理有限公司,-,0.01万元,2025-06-24,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海第一测量师事务所有限公司,-,0.01万元,2025-06-24,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海东方投资监理有限公司,-,0.01万元,2025-06-24,招投标公告,-
中国太平洋保险（集团）股份有限公司,广东文华建设发展有限公司,-,-,2025-06-20,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京零点市场调查有限公司,-,-,2025-06-17,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京网聘信息技术有限公司,-,-,2025-06-16,招投标公告,-
中国太平洋保险（集团）股份有限公司,浪潮软件股份有限公司,-,-,2025-06-13,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海驰霞建设工程有限公司,-,-,2025-06-13,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京商道融绿咨询有限公司,-,-,2025-06-12,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海杰卡数据科技有限公司,-,-,2025-06-09,招投标公告,-
中国太平洋保险（集团）股份有限公司,深圳市智灵时代科技有限公司,-,-,2025-06-04,招投标公告,-
中国太平洋保险（集团）股份有限公司,华风象辑（北京）气象科技有限公司,-,-,2025-05-28,招投标公告,-
中国太平洋保险（集团）股份有限公司,韬睿惠悦管理咨询（深圳）有限公司北京分公司,-,-,2025-05-27,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海奥诃信息技术有限公司,-,0.00万元,2025-05-27,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海春笛信息科技有限公司,-,-,2025-05-26,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海新致软件股份有限公司,-,-,2025-05-26,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海菲耐得信息科技有限公司,-,-,2025-05-26,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海复深蓝软件股份有限公司,-,-,2025-05-26,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海泽众软件科技有限公司,-,-,2025-05-26,招投标公告,-
中国太平洋保险（集团）股份有限公司,创新奇智科技集团股份有限公司,-,-,2025-05-21,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海中软华腾软件系统有限公司,-,-,2025-05-21,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海浩宜信息科技有限公司,-,-,2025-05-21,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海耸智信息科技有限公司,-,-,2025-05-20,招投标公告,-
中国太平洋保险（集团）股份有限公司,深圳市赢时胜信息技术股份有限公司,-,-,2025-05-17,招投标公告,-
中国太平洋保险（集团）股份有限公司,申朴信息技术（上海）股份有限公司,-,-,2025-05-16,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海赛源环境检测技术有限公司,-,-,2025-05-14,招投标公告,-
中国太平洋保险（集团）股份有限公司,江苏中科智联信息技术有限公司,-,-,2025-05-14,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京安捷数科信息技术有限公司,-,-,2025-05-13,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海跬智信息技术有限公司,-,-,2025-05-09,招投标公告,-
中国太平洋保险（集团）股份有限公司,中國太平洋人壽保險（香港）有限公司,-,-,2025-05-09,招投标公告,-
中国太平洋保险（集团）股份有限公司,浙江科佳工程咨询有限公司,-,-,2025-05-07,招投标公告,-
中国太平洋保险（集团）股份有限公司,神州通誉软件（集团）股份有限公司,-,-,2025-05-07,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京太极华保科技股份有限公司,-,-,2025-04-29,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海云频信息技术有限公司,-,-,2025-04-28,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海摩莱信息科技有限公司,-,-,2025-04-27,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海喜洋洋标识有限公司,-,-,2025-04-25,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海华讯网络系统有限公司,-,-,2025-04-22,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海博观瑞思传媒科技有限公司,-,-,2025-04-21,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京随身保典信息科技有限公司,-,-,2025-04-17,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海启朋信息科技有限公司,-,-,2025-04-15,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海融金聚科技有限公司,-,-,2025-04-14,招投标公告,-
中国太平洋保险（集团）股份有限公司,险（集团）股份有限公司,-,-,2025-03-07,招投标公告,-
中国太平洋保险（集团）股份有限公司,华创证券有限责任公司,-,-,2025-03-06,招投标公告,-
中国太平洋保险（集团）股份有限公司,明觉科技（北京）有限公司,-,-,2025-02-28,招投标公告,-
中国太平洋保险（集团）股份有限公司,东华软件股份公司,-,-,2025-02-28,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海雯韵贸易有限公司,-,-,2025-02-27,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海固牧暖通机电工程有限公司,-,-,2025-02-27,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海鑫前建筑电气设备安装有限公司,-,-,2025-02-27,招投标公告,-
中国太平洋保险（集团）股份有限公司,恒生电子股份有限公司,-,-,2025-02-25,招投标公告,-
中国太平洋保险（集团）股份有限公司,太保养老服务（青岛）有限公司市南诊所,-,-,2025-02-18,招投标公告,-
中国太平洋保险（集团）股份有限公司,淄博丽景源餐饮管理有限公司,-,-,2025-02-18,招投标公告,-
中国太平洋保险（集团）股份有限公司,济南大海餐饮管理有限公司,-,-,2025-02-18,招投标公告,-
中国太平洋保险（集团）股份有限公司,苏州元核云技术有限公司,-,-,2025-02-17,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京世邦魏理仕物业管理服务有限公司,-,-,2025-01-26,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海夏朗信息技术有限公司,-,-,2025-01-23,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海速邦信息科技有限公司,-,-,2025-01-22,招投标公告,-
中国太平洋保险（集团）股份有限公司,戴德梁行房地产顾问（深圳）有限公司,-,-,2025-01-22,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海生腾数据科技有限公司,-,-,2025-01-20,招投标公告,-
中国太平洋保险（集团）股份有限公司,杭州洁辰服饰有限公司,-,-,2025-01-16,招投标公告,-
中国太平洋保险（集团）股份有限公司,深圳奥哲网络科技有限公司,-,-,2025-01-15,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京云房数据技术有限责任公司,-,-,2025-01-15,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京佳格天地科技有限公司,-,-,2025-01-13,招投标公告,-
中国太平洋保险（集团）股份有限公司,德勤管理咨询（上海）有限公司,-,1705.00万元,2025-01-10,招投标公告,-
中国太平洋保险（集团）股份有限公司,深圳市万德建设集团有限公司,-,-,2025-01-09,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海商汤智能科技有限公司,-,-,2025-01-08,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海唐神广告传播有限公司,-,-,2025-01-06,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海科普特信息系统有限公司,-,-,2025-01-04,招投标公告,-
中国太平洋保险（集团）股份有限公司,深圳市万全智策企业管理咨询服务股份有限公司,-,-,2024-12-30,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海境伏商务咨询有限公司,-,-,2024-12-30,招投标公告,-
中国太平洋保险（集团）股份有限公司,南京梅山工程技术新产业开发有限公司,-,-,2024-12-30,招投标公告,-
中国太平洋保险（集团）股份有限公司,领禾人才咨询（上海）有限公司,-,-,2024-12-23,招投标公告,-
中国太平洋保险（集团）股份有限公司,埃摩森网络科技（上海）有限公司,-,-,2024-12-23,招投标公告,-
中国太平洋保险（集团）股份有限公司,中科慧智（北京）信息咨询有限公司,-,-,2024-12-23,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海慎利建设有限公司,-,-,2024-12-18,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海驰骛信息科技有限公司,-,-,2024-12-17,招投标公告,-
中国太平洋保险（集团）股份有限公司,东港股份有限公司,-,-,2024-12-16,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海宏力达信息技术股份有限公司,-,-,2024-12-16,招投标公告,-
中国太平洋保险（集团）股份有限公司,中智关爱通（上海）科技股份有限公司,-,-,2024-12-13,招投标公告,-
中国太平洋保险（集团）股份有限公司,天缔建设集团有限公司,-,-,2024-12-13,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海翰纬信息科技有限公司,-,-,2024-12-09,招投标公告,-
中国太平洋保险（集团）股份有限公司,宣亚国际营销科技（北京）股份有限公司,-,-,2024-12-06,招投标公告,-
中国太平洋保险（集团）股份有限公司,证通股份有限公司,-,-,2024-12-02,招投标公告,-
中国太平洋保险（集团）股份有限公司,中科软科技股份有限公司,-,-,2024-11-15,招投标公告,-
中国太平洋保险（集团）股份有限公司,杭州兑吧网络科技有限公司,-,-,2024-11-11,招投标公告,-
中国太平洋保险（集团）股份有限公司,江苏微盛网络科技有限公司,-,-,2024-11-11,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京可利邦信息技术股份有限公司,-,-,2024-11-11,招投标公告,-
中国太平洋保险（集团）股份有限公司,安永（中国）企业咨询有限公司,-,-,2024-11-04,招投标公告,-
中国太平洋保险（集团）股份有限公司,致同会计师事务所（特殊普通合伙）,-,-,2024-10-31,招投标公告,-
中国太平洋保险（集团）股份有限公司,四川省成都市蜀都公证处,-,-,2024-10-28,招投标公告,-
中国太平洋保险（集团）股份有限公司,北京鼎驰建设集团有限公司,-,-,2024-10-28,招投标公告,-
中国太平洋保险（集团）股份有限公司,太平洋资产管理有限责任公司,-,-,2024-10-25,招投标公告,-
中国太平洋保险（集团）股份有限公司,北明软件有限公司,-,-,2024-10-16,招投标公告,-
中国太平洋保险（集团）股份有限公司,中景安达建设集团有限公司,-,-,2024-10-16,招投标公告,-
中国太平洋保险（集团）股份有限公司,上海久昊节能科技发展有限公司,-,-,2024-10-11,招投标公告,-
中国太平洋保险（集团）股份有限公司,科讯嘉联信息技术有限公司,-,-,2024-09-27,招投标公告,-
嘉必优生物技术（武汉）股份有限公司,上海诺传食品贸易有限公司,7.85%,156.09万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,沂水大地玉米开发有限公司,7.66%,152.29万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,东晓生物科技股份有限公司,9.15%,242.12万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,宜昌振林科技有限公司,6.94%,128.23万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,武汉市强源能燃料有限公司,3.95%,72.97万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,戴纬林国际贸易（上海）有限公司,8.75%,320.66万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,秦皇岛骊骅淀粉股份有限公司,11.14%,221.34万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,武汉市瑞腾锦盈商贸有限公司,10.98%,218.28万元,2019-12-02,年报,-
嘉必优生物技术（武汉）股份有限公司,双桥（湖北）有限公司,9.78%,194.39万元,2019-10-22,年报,-
嘉必优生物技术（武汉）股份有限公司,武汉江夏华润燃气有限公司,5.87%,252.72万元,2017-06-09,年报,-
嘉必优生物技术（武汉）股份有限公司,国网湖北省电力有限公司鄂州供电公司,32.50%,1277.37万元,2017-06-09,年报,-
嘉必优生物技术（武汉）股份有限公司,国网湖北省电力有限公司武汉供电公司,8.41%,330.57万元,2017-06-09,年报,-
华安鑫创控股（北京）股份有限公司,江苏飞鸣特科技有限公司,2.37%,2328.34万元,2025-04-25,年报,-
华安鑫创控股（北京）股份有限公司,伟志光电（深圳）有限公司,1.47%,1444.55万元,2025-04-25,年报,-
华安鑫创控股（北京）股份有限公司,Nissha Co.， Ltd.,9.52%,9343.16万元,2025-04-25,年报,-
华安鑫创控股（北京）股份有限公司,深圳驿普乐氏科技有限公司,-,-,2024-03-29,司法数据,-
华安鑫创控股（北京）股份有限公司,深圳市华视雄业科技有限公司,7.39%,2478.60万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,云南锦鼎光电科技有限公司,6.60%,2214.57万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,京东方科技集团股份有限公司,2.65%,888.80万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,上海野锦电子有限公司,1.67%,1178.88万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,东莞市日新传导科技有限公司,0.86%,606.09万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,元太科技工業股份有限公司,2.87%,2074.52万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,中華映管股份有限公司,72.95%,52785.20万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,天马微电子股份有限公司,9.83%,7114.88万元,2020-12-22,年报,-
华安鑫创控股（北京）股份有限公司,华映科技（集团）股份有限公司,1.12%,5455.01万元,2018-03-03,供应商公告,-
上海三毛企业（集团）股份有限公司,上海银盾电子信息技术有限公司,-,-,2021-12-16,招投标公告,-
上海三毛企业（集团）股份有限公司,宝鸡凌云万正电路板有限公司,-,-,2020-06-02,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门美亚智盈人力资源服务有限公司,-,-,2025-06-11,招投标公告,-
国投智能（厦门）信息股份有限公司,平安养老保险股份有限公司厦门分公司,-,-,2025-04-29,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门全优选餐饮配送有限公司,-,-,2025-02-18,招投标公告,-
国投智能（厦门）信息股份有限公司,北京花乡拍卖有限公司,-,-,2024-12-30,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门琪锐餐饮服务有限公司,-,-,2024-10-29,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门市巨龙信息科技有限公司,-,-,2024-10-14,招投标公告,-
国投智能（厦门）信息股份有限公司,福建宇宏工程项目管理有限公司,-,-,2024-10-12,招投标公告,-
国投智能（厦门）信息股份有限公司,中国电子工程设计院股份有限公司,-,-,2024-10-12,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门斯坦道科学仪器股份有限公司,-,-,2024-08-12,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门市美亚梧桐私募基金管理有限公司,-,-,2024-07-08,招投标公告,-
国投智能（厦门）信息股份有限公司,知鱼智联科技股份有限公司,-,-,2024-03-22,招投标公告,-
国投智能（厦门）信息股份有限公司,永辉彩食鲜供应链管理有限公司,-,-,2024-02-19,招投标公告,-
国投智能（厦门）信息股份有限公司,北京隆道网络科技有限公司,-,-,2024-01-26,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门美亚亿安信息科技有限公司,-,-,2023-12-05,招投标公告,-
国投智能（厦门）信息股份有限公司,澳门美新信息技术有限公司,-,-,2023-10-17,招投标公告,-
国投智能（厦门）信息股份有限公司,中国人民人寿保险股份有限公司厦门市分公司,-,-,2023-04-24,招投标公告,-
国投智能（厦门）信息股份有限公司,罗普特科技集团股份有限公司,5.62%,1099.31万元,2021-01-27,供应商公告,-
国投智能（厦门）信息股份有限公司,北京海联捷讯科技股份有限公司,-,751.13万元,2020-05-06,供应商公告,无关联关系
国投智能（厦门）信息股份有限公司,深圳小蝉文化传媒股份有限公司,10.85%,64.16万元,2020-04-16,供应商公告,非关联方
国投智能（厦门）信息股份有限公司,湖南蚁坊软件股份有限公司,1.57%,84.08万元,2020-03-26,供应商公告,非关联方
国投智能（厦门）信息股份有限公司,深圳市创新投资集团有限公司,6.88%,3425.12万元,2019-01-04,供应商公告,非关联方
国投智能（厦门）信息股份有限公司,陕西识代运筹信息科技股份有限公司,9.42%,60.90万元,2018-08-23,供应商公告,-
国投智能（厦门）信息股份有限公司,深圳市中新赛克科技股份有限公司,6.88%,3425.12万元,2018-03-17,供应商公告,-
国投智能（厦门）信息股份有限公司,山东华鼎科技有限公司,-,-,2017-11-01,招投标公告,-
国投智能（厦门）信息股份有限公司,济南捷源信息技术有限公司,-,-,2017-11-01,招投标公告,-
国投智能（厦门）信息股份有限公司,厦门市盛迅信息技术股份有限公司,12.55%,178.95万元,2017-07-04,供应商公告,-
国投智能（厦门）信息股份有限公司,鲁班艺术集团股份有限公司,-,585.73万元,2017-04-25,供应商公告,否
国投智能（厦门）信息股份有限公司,深圳泰尔智能视控股份有限公司,2.18%,21.28万元,2017-01-24,供应商公告,-
国投智能（厦门）信息股份有限公司,永信至诚科技集团股份有限公司,4.13%,265.64万元,2016-05-31,供应商公告,-
国投智能（厦门）信息股份有限公司,杭州晨晓科技股份有限公司,7.23%,230.77万元,2016-01-25,供应商公告,-
国投智能（厦门）信息股份有限公司,北京成长秘密科技股份有限公司,2.77%,29.18万元,2015-12-30,供应商公告,-
蒙草生态环境（集团）股份有限公司,内蒙古小草数字农业生态股份有限公司,-,2771.29万元,2025-04-22,供应商公告,是
蒙草生态环境（集团）股份有限公司,甘肃鑫明顺新型材料有限公司,-,-,2024-05-27,招投标公告,-
蒙草生态环境（集团）股份有限公司,乌鲁木齐绿森林工程有限责任公司,-,-,2023-06-02,司法数据,-
蒙草生态环境（集团）股份有限公司,内蒙古千果网络科技有限公司,-,-,2022-06-21,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古学府规划设计有限责任公司,-,-,2021-12-20,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古菁腾商贸有限公司,-,-,2021-12-13,招投标公告,-
蒙草生态环境（集团）股份有限公司,海勃湾永艺机电设备修理部,-,-,2021-05-15,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京绿京华生态园林股份有限公司,8.26%,2549.07万元,2020-04-29,供应商公告,非关联方
蒙草生态环境（集团）股份有限公司,北京北森云计算股份有限公司,-,-,2019-11-06,招投标公告,-
蒙草生态环境（集团）股份有限公司,渤艺（北京）科技发展有限公司,-,-,2019-10-10,招投标公告,-
蒙草生态环境（集团）股份有限公司,白城市宏麒塑胶建材经销处,-,-,2019-09-25,司法数据,-
蒙草生态环境（集团）股份有限公司,内蒙古赫功园林绿化有限公司,-,-,2019-07-18,招投标公告,-
蒙草生态环境（集团）股份有限公司,紫光软件系统有限公司,-,-,2019-07-10,招投标公告,-
蒙草生态环境（集团）股份有限公司,河北锦阔园林工程有限公司,-,-,2019-07-06,招投标公告,-
蒙草生态环境（集团）股份有限公司,安平县欧艺交通网业有限公司,-,-,2019-06-21,招投标公告,-
蒙草生态环境（集团）股份有限公司,航天科工（北京）空间信息应用股份有限公司,-,-,2019-06-13,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古蒙标广告有限公司,-,-,2019-03-30,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京一果营销科技有限公司,-,-,2019-03-30,招投标公告,-
蒙草生态环境（集团）股份有限公司,慧都创新（北京）科技有限公司,-,-,2019-03-09,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古君晔企业管理咨询有限责任公司,-,-,2019-03-07,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京思络维科技有限公司,-,-,2019-02-19,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古中诺矿业有限责任公司,-,-,2019-02-02,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古亨泰建设有限公司,-,-,2019-02-02,招投标公告,-
蒙草生态环境（集团）股份有限公司,山西华新晋药集团能源销售有限公司,-,-,2019-02-02,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京普安瑞达建设工程有限公司,-,-,2018-12-14,招投标公告,-
蒙草生态环境（集团）股份有限公司,大信会计师事务所（特殊普通合伙）陕西分所,-,-,2018-10-23,招投标公告,-
蒙草生态环境（集团）股份有限公司,乌兰察布市绿叶劳务有限公司,-,-,2018-07-05,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京锦绣八方园林绿化有限公司,-,-,2018-06-11,招投标公告,-
蒙草生态环境（集团）股份有限公司,太仓海之源国际贸易有限公司,-,-,2018-05-23,招投标公告,-
蒙草生态环境（集团）股份有限公司,邯郸市春晓建筑工程有限公司,-,-,2018-05-17,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京孚拉瑞仕咨询有限责任公司,-,-,2018-05-14,招投标公告,-
蒙草生态环境（集团）股份有限公司,包头林烨工程设备有限公司,-,-,2018-04-28,招投标公告,-
蒙草生态环境（集团）股份有限公司,巴彦淖尔市蒙萃园工贸有限责任公司,-,-,2018-04-28,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古嵘博园林绿化有限公司,-,-,2018-04-28,招投标公告,-
蒙草生态环境（集团）股份有限公司,深圳美丽生态股份有限公司,14.21%,10767.37万元,2018-04-27,供应商公告,-
蒙草生态环境（集团）股份有限公司,内蒙古竞顺兴工程有限公司,-,-,2018-04-20,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古绿景天建设科技有限公司,-,-,2018-04-19,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京中农美景园艺有限公司,-,-,2018-04-17,招投标公告,-
蒙草生态环境（集团）股份有限公司,满洲里市源点生态绿化有限公司,-,-,2018-04-04,招投标公告,-
蒙草生态环境（集团）股份有限公司,乌兰察布市钰霖都劳务服务有限公司,-,-,2018-04-04,招投标公告,-
蒙草生态环境（集团）股份有限公司,赤峰市圣棋建筑劳务有限公司,-,-,2018-04-02,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古恒元园林绿化有限公司,-,-,2018-04-02,招投标公告,-
蒙草生态环境（集团）股份有限公司,环县远胜园林绿化有限公司,-,-,2018-03-30,招投标公告,-
蒙草生态环境（集团）股份有限公司,二连市军俊劳务服务有限公司,-,-,2018-03-30,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古美诚园林绿化有限公司,-,-,2018-03-30,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古青苹果园林绿化有限公司,-,-,2018-03-27,招投标公告,-
蒙草生态环境（集团）股份有限公司,定州浩方苗圃场,-,-,2018-03-27,招投标公告,-
蒙草生态环境（集团）股份有限公司,乌拉特中旗力胜农机专业合作社,-,-,2018-03-27,招投标公告,-
蒙草生态环境（集团）股份有限公司,鄂尔多斯市昇原园林绿化有限公司,-,-,2018-03-27,招投标公告,-
蒙草生态环境（集团）股份有限公司,商都县清峰大理石销售部,-,-,2018-03-14,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古江鹏商贸有限公司,-,-,2018-03-14,招投标公告,-
蒙草生态环境（集团）股份有限公司,奈曼旗源景园林绿化有限公司,-,-,2018-03-07,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古林邦园林绿化有限公司,-,-,2018-03-06,招投标公告,-
蒙草生态环境（集团）股份有限公司,辽宁中维高新技术股份有限公司,51.05%,465.43万元,2018-02-28,供应商公告,非关联方
蒙草生态环境（集团）股份有限公司,呼和浩特市卓美广告有限公司,-,-,2018-02-27,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京布莱特草业有限公司,-,-,2018-01-24,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古建国园林绿化有限公司,-,-,2017-11-28,招投标公告,-
蒙草生态环境（集团）股份有限公司,北京鑫森源木业有限责任公司,-,-,2017-11-17,招投标公告,-
蒙草生态环境（集团）股份有限公司,呼和浩特市泽康医院有限责任公司,-,-,2017-11-10,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古网讯信息工程有限公司,-,-,2017-11-02,招投标公告,-
蒙草生态环境（集团）股份有限公司,南京普天通信股份有限公司,-,-,2017-10-31,招投标公告,-
蒙草生态环境（集团）股份有限公司,江苏星光发电设备有限公司,-,-,2017-10-16,招投标公告,-
蒙草生态环境（集团）股份有限公司,包头市金盛市政工程有限公司,-,-,2017-09-15,招投标公告,-
蒙草生态环境（集团）股份有限公司,安平县国华五金网类制品有限公司,-,-,2017-09-11,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古德鸿建设工程有限公司,-,-,2017-09-04,招投标公告,-
蒙草生态环境（集团）股份有限公司,内蒙古金沙葡萄酒业股份有限公司,9.05%,294.97万元,2017-05-31,供应商公告,-
蒙草生态环境（集团）股份有限公司,宏岳塑胶集团股份有限公司,1.14%,627.60万元,2017-04-26,供应商公告,非关联方
蒙草生态环境（集团）股份有限公司,内蒙古远欣房地产开发有限责任公司,-,-,2017-04-03,招投标公告,-
蒙草生态环境（集团）股份有限公司,哈尔滨市呼兰区彩虹苗木基地,3.08%,649.59万元,2012-08-31,年报,非关联
蒙草生态环境（集团）股份有限公司,定州市鑫京津苗圃场,2.52%,532.98万元,2012-08-31,年报,非关联
